day,day_label,week,week_label,mnth,mnth_label,qrtr,qrtr_label,ssn,ssn_label,year,year_label,woy,woy_label
20100104,2010年01月04日,W01_2010,01/04/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W01,01周
20100105,2010年01月05日,W01_2010,01/04/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W01,01周
20100106,2010年01月06日,W01_2010,01/04/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W01,01周
20100107,2010年01月07日,W01_2010,01/04/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W01,01周
20100108,2010年01月08日,W01_2010,01/04/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W01,01周
20100109,2010年01月09日,W01_2010,01/04/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W01,01周
20100110,2010年01月10日,W01_2010,01/04/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W01,01周
20100111,2010年01月11日,W02_2010,01/11/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W02,02周
20100112,2010年01月12日,W02_2010,01/11/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W02,02周
20100113,2010年01月13日,W02_2010,01/11/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W02,02周
20100114,2010年01月14日,W02_2010,01/11/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W02,02周
20100115,2010年01月15日,W02_2010,01/11/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W02,02周
20100116,2010年01月16日,W02_2010,01/11/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W02,02周
20100117,2010年01月17日,W02_2010,01/11/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W02,02周
20100118,2010年01月18日,W03_2010,01/18/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W03,03周
20100119,2010年01月19日,W03_2010,01/18/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W03,03周
20100120,2010年01月20日,W03_2010,01/18/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W03,03周
20100121,2010年01月21日,W03_2010,01/18/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W03,03周
20100122,2010年01月22日,W03_2010,01/18/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W03,03周
20100123,2010年01月23日,W03_2010,01/18/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W03,03周
20100124,2010年01月24日,W03_2010,01/18/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W03,03周
20100125,2010年01月25日,W04_2010,01/25/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W04,04周
20100126,2010年01月26日,W04_2010,01/25/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W04,04周
20100127,2010年01月27日,W04_2010,01/25/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W04,04周
20100128,2010年01月28日,W04_2010,01/25/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W04,04周
20100129,2010年01月29日,W04_2010,01/25/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W04,04周
20100130,2010年01月30日,W04_2010,01/25/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W04,04周
20100131,2010年01月31日,W04_2010,01/25/2010,M01_2010,2010年01月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W04,04周
20100201,2010年02月01日,W05_2010,02/01/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W05,05周
20100202,2010年02月02日,W05_2010,02/01/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W05,05周
20100203,2010年02月03日,W05_2010,02/01/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W05,05周
20100204,2010年02月04日,W05_2010,02/01/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W05,05周
20100205,2010年02月05日,W05_2010,02/01/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W05,05周
20100206,2010年02月06日,W05_2010,02/01/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W05,05周
20100207,2010年02月07日,W05_2010,02/01/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W05,05周
20100208,2010年02月08日,W06_2010,02/08/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W06,06周
