str,str_label,dstr,dstr_label,rgn,rgn_label,area,area_label,chnl,chnl_label,comp,comp_label,clia,clia_label,cliz,cliz_label,stra,stra_label,alta,alta_label,bdst,bdst_label,alt1,alt1_label,clu1,clu1_label,alt2,alt2_label,clu2,clu2_label,alt3,alt3_label,clu3,clu3_label,alt4,alt4_label,clu4,clu4_label,alt5,alt5_label,clu5,clu5_label,alt6,alt6_label,clu6,clu6_label,alt7,alt7_label,clu7,clu7_label,alt8,alt8_label,clu8,clu8_label,alt9,alt9_label,clu9,clu9_label,altb,altb_label,club,club_label,altc,altc_label,cluc,cluc_label
30,厦门中山路店,1004,厦门市,107,闽南区域,11,华南大区,1,自营店,1,BBG,11100,华南大区热带,100,热带,1111100,3年以上,11,华南大区,11,步行街,100100B2,热带个性休闲B2,100B2,个性休闲B2,100101B3,热带职业休闲B3,101B3,职业休闲B3,100102C3,热带少女C3,102C3,少女C3,100103C3,热带淑女C3,103C3,淑女C3,100104C1,热带搭配品C1,104C1,搭配品C1,100105D2,热带化妆类D2,105D2,化妆类D2,100106B1,热带鞋包B1,106B1,鞋包B1,100107C1,热带发饰链C1,107C1,发饰链C1,100108C2,热带贴身温馨C2,108C2,贴身温馨C2,100109C4,热带浪漫居家C4,109C4,浪漫居家C4,100110C4,热带时尚季节C4,110C4,时尚季节C4
31,无锡中山路店,1007,无锡市,117,苏南区域,13,华东大区,1,自营店,1,BBG,13102,华东大区中温带,102,中温带,1313100,3年以上,13,华东大区,10,商业街,102100D3,中温带个性休闲D3,100D3,个性休闲D3,102101D4,中温带职业休闲D4,101D4,职业休闲D4,1.02E+08,中温带少女E3,1.02E+05,少女E3,1.02E+08,中温带淑女E3,1.03E+05,淑女E3,102104C2,中温带搭配品C2,104C2,搭配品C2,102105D2,中温带化妆类D2,105D2,化妆类D2,102106D2,中温带鞋包D2,106D2,鞋包D2,102107C2,中温带发饰链C2,107C2,发饰链C2,102108D4,中温带贴身温馨D4,108D4,贴身温馨D4,102109D4,中温带浪漫居家D4,109D4,浪漫居家D4,102110D4,中温带时尚季节D4,110D4,时尚季节D4
32,阜阳人民中路店,1009,阜阳市,109,皖北区域,12,华北大区,1,自营店,1,BBG,12103,华北大区北温带,103,北温带,1212100,3年以上,12,华北大区,10,商业街,103100A1,北温带个性休闲A1,100A1,个性休闲A1,103101A2,北温带职业休闲A2,101A2,职业休闲A2,103102B2,北温带少女B2,102B2,少女B2,103103A2,北温带淑女A2,103A2,淑女A2,103104A1,北温带搭配品A1,104A1,搭配品A1,103105A1,北温带化妆类A1,105A1,化妆类A1,103106A1,北温带鞋包A1,106A1,鞋包A1,103107A1,北温带发饰链A1,107A1,发饰链A1,103108B1,北温带贴身温馨B1,108B1,贴身温馨B1,103109A1,北温带浪漫居家A1,109A1,浪漫居家A1,103110B2,北温带时尚季节B2,110B2,时尚季节B2
33,合肥淮河路店,1001,合肥市,109,皖北区域,12,华北大区,1,自营店,1,BBG,12102,华北大区中温带,102,中温带,1212100,3年以上,12,华北大区,11,步行街,102100A1,中温带个性休闲A1,100A1,个性休闲A1,102101A2,中温带职业休闲A2,101A2,职业休闲A2,102102B2,中温带少女B2,102B2,少女B2,102103A2,中温带淑女A2,103A2,淑女A2,102104A1,中温带搭配品A1,104A1,搭配品A1,102105A1,中温带化妆类A1,105A1,化妆类A1,102106A1,中温带鞋包A1,106A1,鞋包A1,102107A1,中温带发饰链A1,107A1,发饰链A1,102108A1,中温带贴身温馨A1,108A1,贴身温馨A1,102109A1,中温带浪漫居家A1,109A1,浪漫居家A1,102110A2,中温带时尚季节A2,110A2,时尚季节A2
34,龙岩中山路店,1010,龙岩市,107,闽南区域,11,华南大区,1,自营店,1,BBG,11100,华南大区热带,100,热带,1111100,3年以上,11,华南大区,10,商业街,100100C2,热带个性休闲C2,100C2,个性休闲C2,100101C3,热带职业休闲C3,101C3,职业休闲C3,100102D1,热带少女D1,102D1,少女D1,100103D1,热带淑女D1,103D1,淑女D1,100104B1,热带搭配品B1,104B1,搭配品B1,100105C2,热带化妆类C2,105C2,化妆类C2,100106B1,热带鞋包B1,106B1,鞋包B1,100107B1,热带发饰链B1,107B1,发饰链B1,100108C2,热带贴身温馨C2,108C2,贴身温馨C2,100109B3,热带浪漫居家B3,109B3,浪漫居家B3,100110C4,热带时尚季节C4,110C4,时尚季节C4
35,芜湖中山路2店,1003,芜湖市,110,皖南区域,12,华北大区,1,自营店,1,BBG,12102,华北大区中温带,102,中温带,1212100,3年以上,12,华北大区,11,步行街,102100B3,中温带个性休闲B3,100B3,个性休闲B3,102101C4,中温带职业休闲C4,101C4,职业休闲C4,102102C3,中温带少女C3,102C3,少女C3,102103C3,中温带淑女C3,103C3,淑女C3,102104A1,中温带搭配品A1,104A1,搭配品A1,102105A1,中温带化妆类A1,105A1,化妆类A1,102106B3,中温带鞋包B3,106B3,鞋包B3,102107A1,中温带发饰链A1,107A1,发饰链A1,102108B1,中温带贴身温馨B1,108B1,贴身温馨B1,102109B3,中温带浪漫居家B3,109B3,浪漫居家B3,102110C3,中温带时尚季节C3,110C3,时尚季节C3
36,铜陵长江路店,1013,铜陵市,110,皖南区域,12,华北大区,1,自营店,1,BBG,12102,华北大区中温带,102,中温带,1212100,3年以上,12,华北大区,10,商业街,102100A1,中温带个性休闲A1,100A1,个性休闲A1,102101B3,中温带职业休闲B3,101B3,职业休闲B3,102102D2,中温带少女D2,102D2,少女D2,102103D2,中温带淑女D2,103D2,淑女D2,102104A1,中温带搭配品A1,104A1,搭配品A1,102105B1,中温带化妆类B1,105B1,化妆类B1,102106A1,中温带鞋包A1,106A1,鞋包A1,102107A1,中温带发饰链A1,107A1,发饰链A1,102108C2,中温带贴身温馨C2,108C2,贴身温馨C2,102109C2,中温带浪漫居家C2,109C2,浪漫居家C2,102110C2,中温带时尚季节C2,110C2,时尚季节C2
37,龙岩九一路店,1010,龙岩市,107,闽南区域,11,华南大区,1,自营店,1,BBG,11100,华南大区热带,100,热带,1111100,3年以上,11,华南大区,10,商业街,99999999,空,99999,空,99999999,空,99999,空,99999999,空,99999,空,99999999,空,99999,空,100104B2,热带搭配品B2,104B2,搭配品B2,100105C3,热带化妆类C3,105C3,化妆类C3,100106C3,热带鞋包C3,106C3,鞋包C3,100107C2,热带发饰链C2,107C2,发饰链C2,100108D5,热带贴身温馨D5,108D5,贴身温馨D5,100109C4,热带浪漫居家C4,109C4,浪漫居家C4,100110C4,热带时尚季节C4,110C4,时尚季节C4
38,马鞍山解放路店,1015,马鞍山市,110,皖南区域,12,华北大区,1,自营店,1,BBG,12102,华北大区中温带,102,中温带,1212100,3年以上,12,华北大区,10,商业街,102100A1,中温带个性休闲A1,100A1,个性休闲A1,102101A2,中温带职业休闲A2,101A2,职业休闲A2,102102D2,中温带少女D2,102D2,少女D2,102103A2,中温带淑女A2,103A2,淑女A2,102104A1,中温带搭配品A1,104A1,搭配品A1,102105A1,中温带化妆类A1,105A1,化妆类A1,102106A1,中温带鞋包A1,106A1,鞋包A1,102107A1,中温带发饰链A1,107A1,发饰链A1,102108C2,中温带贴身温馨C2,108C2,贴身温馨C2,102109B3,中温带浪漫居家B3,109B3,浪漫居家B3,102110C3,中温带时尚季节C3,110C3,时尚季节C3
39,福清一拂街店,1017,福清市,106,福州区域,11,华南大区,1,自营店,1,BBG,11100,华南大区热带,100,热带,1111100,3年以上,11,华南大区,10,商业街,100100C3,热带个性休闲C3,100C3,个性休闲C3,100101D2,热带职业休闲D2,101D2,职业休闲D2,1.00E+07,热带少女E2,1.02E+04,少女E2,1.00E+08,热带淑女E3,1.03E+05,淑女E3,100104C2,热带搭配品C2,104C2,搭配品C2,100105D1,热带化妆类D1,105D1,化妆类D1,100106C2,热带鞋包C2,106C2,鞋包C2,100107C1,热带发饰链C1,107C1,发饰链C1,100108D4,热带贴身温馨D4,108D4,贴身温馨D4,100109D3,热带浪漫居家D3,109D3,浪漫居家D3,100110D4,热带时尚季节D4,110D4,时尚季节D4
