day,day_label,mnth,mnth_label,year,year_label
20160101,2016年01月01日,M01_2016,2016年01月,Y2016,2016年
20160102,2016年01月02日,M01_2016,2016年01月,Y2016,2016年
20160103,2016年01月03日,M01_2016,2016年01月,Y2016,2016年
20160104,2016年01月04日,M01_2016,2016年01月,Y2016,2016年
20160105,2016年01月05日,M01_2016,2016年01月,Y2016,2016年
20160106,2016年01月06日,M01_2016,2016年01月,Y2016,2016年
20160107,2016年01月07日,M01_2016,2016年01月,Y2016,2016年
20160108,2016年01月08日,M01_2016,2016年01月,Y2016,2016年
20160109,2016年01月09日,M01_2016,2016年01月,Y2016,2016年
20160110,2016年01月10日,M01_2016,2016年01月,Y2016,2016年
20160111,2016年01月11日,M01_2016,2016年01月,Y2016,2016年
20160112,2016年01月12日,M01_2016,2016年01月,Y2016,2016年
20160113,2016年01月13日,M01_2016,2016年01月,Y2016,2016年
20160114,2016年01月14日,M01_2016,2016年01月,Y2016,2016年
20160115,2016年01月15日,M01_2016,2016年01月,Y2016,2016年
20160116,2016年01月16日,M01_2016,2016年01月,Y2016,2016年
20160117,2016年01月17日,M01_2016,2016年01月,Y2016,2016年
20160118,2016年01月18日,M01_2016,2016年01月,Y2016,2016年
20160119,2016年01月19日,M01_2016,2016年01月,Y2016,2016年
20160120,2016年01月20日,M01_2016,2016年01月,Y2016,2016年
20160121,2016年01月21日,M01_2016,2016年01月,Y2016,2016年
20160122,2016年01月22日,M01_2016,2016年01月,Y2016,2016年
20160123,2016年01月23日,M01_2016,2016年01月,Y2016,2016年
20160124,2016年01月24日,M01_2016,2016年01月,Y2016,2016年
20160125,2016年01月25日,M01_2016,2016年01月,Y2016,2016年
20160126,2016年01月26日,M01_2016,2016年01月,Y2016,2016年
20160127,2016年01月27日,M01_2016,2016年01月,Y2016,2016年
20160128,2016年01月28日,M01_2016,2016年01月,Y2016,2016年
20160129,2016年01月29日,M01_2016,2016年01月,Y2016,2016年
20160130,2016年01月30日,M01_2016,2016年01月,Y2016,2016年
20160131,2016年01月31日,M01_2016,2016年01月,Y2016,2016年
20160201,2016年02月01日,M02_2016,2016年02月,Y2016,2016年
20160202,2016年02月02日,M02_2016,2016年02月,Y2016,2016年
20160203,2016年02月03日,M02_2016,2016年02月,Y2016,2016年
20160204,2016年02月04日,M02_2016,2016年02月,Y2016,2016年
20160205,2016年02月05日,M02_2016,2016年02月,Y2016,2016年
20160206,2016年02月06日,M02_2016,2016年02月,Y2016,2016年
20160207,2016年02月07日,M02_2016,2016年02月,Y2016,2016年
20160208,2016年02月08日,M02_2016,2016年02月,Y2016,2016年
20160209,2016年02月09日,M02_2016,2016年02月,Y2016,2016年
20160210,2016年02月10日,M02_2016,2016年02月,Y2016,2016年
20160211,2016年02月11日,M02_2016,2016年02月,Y2016,2016年
20160212,2016年02月12日,M02_2016,2016年02月,Y2016,2016年
20160213,2016年02月13日,M02_2016,2016年02月,Y2016,2016年
20160214,2016年02月14日,M02_2016,2016年02月,Y2016,2016年
20160215,2016年02月15日,M02_2016,2016年02月,Y2016,2016年
20160216,2016年02月16日,M02_2016,2016年02月,Y2016,2016年
20160217,2016年02月17日,M02_2016,2016年02月,Y2016,2016年
20160218,2016年02月18日,M02_2016,2016年02月,Y2016,2016年
20160219,2016年02月19日,M02_2016,2016年02月,Y2016,2016年
20160220,2016年02月20日,M02_2016,2016年02月,Y2016,2016年
20160221,2016年02月21日,M02_2016,2016年02月,Y2016,2016年
20160222,2016年02月22日,M02_2016,2016年02月,Y2016,2016年
20160223,2016年02月23日,M02_2016,2016年02月,Y2016,2016年
20160224,2016年02月24日,M02_2016,2016年02月,Y2016,2016年
20160225,2016年02月25日,M02_2016,2016年02月,Y2016,2016年
20160226,2016年02月26日,M02_2016,2016年02月,Y2016,2016年
20160227,2016年02月27日,M02_2016,2016年02月,Y2016,2016年
20160228,2016年02月28日,M02_2016,2016年02月,Y2016,2016年
20160229,2016年02月29日,M02_2016,2016年02月,Y2016,2016年
20160301,2016年03月01日,M03_2016,2016年03月,Y2016,2016年
20160302,2016年03月02日,M03_2016,2016年03月,Y2016,2016年
20160303,2016年03月03日,M03_2016,2016年03月,Y2016,2016年
20160304,2016年03月04日,M03_2016,2016年03月,Y2016,2016年
20160305,2016年03月05日,M03_2016,2016年03月,Y2016,2016年
20160306,2016年03月06日,M03_2016,2016年03月,Y2016,2016年
20160307,2016年03月07日,M03_2016,2016年03月,Y2016,2016年
20160308,2016年03月08日,M03_2016,2016年03月,Y2016,2016年
20160309,2016年03月09日,M03_2016,2016年03月,Y2016,2016年
20160310,2016年03月10日,M03_2016,2016年03月,Y2016,2016年
20160311,2016年03月11日,M03_2016,2016年03月,Y2016,2016年
20160312,2016年03月12日,M03_2016,2016年03月,Y2016,2016年
20160313,2016年03月13日,M03_2016,2016年03月,Y2016,2016年
20160314,2016年03月14日,M03_2016,2016年03月,Y2016,2016年
20160315,2016年03月15日,M03_2016,2016年03月,Y2016,2016年
20160316,2016年03月16日,M03_2016,2016年03月,Y2016,2016年
20160317,2016年03月17日,M03_2016,2016年03月,Y2016,2016年
20160318,2016年03月18日,M03_2016,2016年03月,Y2016,2016年
20160319,2016年03月19日,M03_2016,2016年03月,Y2016,2016年
20160320,2016年03月20日,M03_2016,2016年03月,Y2016,2016年
20160321,2016年03月21日,M03_2016,2016年03月,Y2016,2016年
20160322,2016年03月22日,M03_2016,2016年03月,Y2016,2016年
