str,str_label,reg,reg_label,chn,chn_label
120116,邵东九亿,10104,娄邵区域,11,大卖场
120119,郴州苏园,10102,郴衡区域,11,大卖场
120120,娄底仙人阁,10104,娄邵区域,11,大卖场
120121,娄底涟钢,10104,娄邵区域,11,大卖场
120122,长沙南国,10108,长沙区域,11,大卖场
120123,邵阳武冈,10104,娄邵区域,11,大卖场
120124,怀化靖州,10105,湘西区域,11,大卖场
120125,星沙开元超市,10108,长沙区域,11,大卖场
120127,新余地王超市,10201,江西区域,11,大卖场
120129,永州舜德摩尔超市,10106,永州区域,11,大卖场
120131,富华店,10101,株洲区域,11,大卖场
120134,永州道县店,10106,永州区域,11,大卖场
120135,长沙王府店,10108,长沙区域,11,大卖场
120136,井圭路店,10108,长沙区域,11,大卖场
120137,怀化迎丰店,10105,湘西区域,11,大卖场
120138,上饶店,10201,江西区域,11,大卖场
120140,衡阳飞达店,10102,郴衡区域,11,大卖场
120141,湘潭白石店,10107,湘潭区域,11,大卖场
120144,临澧迎宾店,10105,湘西区域,11,大卖场
120145,购广超市,10107,湘潭区域,11,大卖场
120146,醴陵瓷城店,10101,株洲区域,11,大卖场
120148,新余天恒店,10201,江西区域,11,大卖场
120149,邵阳南站超市,10104,娄邵区域,11,大卖场
120151,常德桥南店,10105,湘西区域,11,大卖场
120152,新余人和,10201,江西区域,11,大卖场
120153,板塘多伦店,10107,湘潭区域,11,大卖场
120154,茶陵交通店,10101,株洲区域,11,大卖场
120155,安化店,10103,岳益区域,11,大卖场
120156,浏阳永安店,10108,长沙区域,11,大卖场
120157,浏阳步行街店,10108,长沙区域,11,大卖场
120158,益阳金山路店,10103,岳益区域,11,大卖场
120159,长沙喜乐地店,10108,长沙区域,11,大卖场
120160,双牌紫金路店,10106,永州区域,11,大卖场
120161,浏阳礼花路店,10108,长沙区域,11,大卖场
120162,永州江永店,10106,永州区域,11,大卖场
120163,望城郭亮路店,10108,长沙区域,11,大卖场
120164,长沙金星路店,10108,长沙区域,11,大卖场
120165,和平路大卖场,10102,郴衡区域,11,大卖场
120166,大卖场万家丽店,10108,长沙区域,11,大卖场
120167,大卖场井圭路店,10108,长沙区域,11,大卖场
120168,永州宁远店,10106,永州区域,11,大卖场
120169,邵阳科美店,10104,娄邵区域,11,大卖场
120170,岳阳金鹗店,10103,岳益区域,11,大卖场
120171,武冈都梁店,10104,娄邵区域,11,大卖场
120172,益阳资阳店,10103,岳益区域,11,大卖场
120173,张家界十字街店,10105,湘西区域,11,大卖场
120174,吉安富川路店,10201,江西区域,11,大卖场
120175,溆浦店,10105,湘西区域,11,大卖场
120176,科大店,10107,湘潭区域,11,大卖场
120177,衡山人民中路店,10102,郴衡区域,11,大卖场
120178,衡阳县新正街店,10102,郴衡区域,11,大卖场
120179,吉首店,10105,湘西区域,11,大卖场
120180,宜春中山路店,10201,江西区域,11,大卖场
120181,怀化顺天店,10105,湘西区域,11,大卖场
120182,衡阳蔡伦中路店,10102,郴衡区域,11,大卖场
120183,永州江华店,10106,永州区域,11,大卖场
120184,怀化宝庆店,10105,湘西区域,11,大卖场
120185,衡阳解放路店,10102,郴衡区域,11,大卖场
120186,双峰城中店,10104,娄邵区域,11,大卖场
120187,张家界桑植科赛店,10105,湘西区域,11,大卖场
120188,益阳南县南州店,10103,岳益区域,11,大卖场
120189,长沙王家湾店,10108,长沙区域,11,大卖场
120190,娄底阳光店,10104,娄邵区域,11,大卖场
120191,长沙东站店,10108,长沙区域,11,大卖场
120192,衡阳祁东店,10102,郴衡区域,11,大卖场
130001,家电攸县店,30101,家电湘北区域,13,家电
130002,家电张家界店,30101,家电湘北区域,13,家电
130003,家电红旗路店,30102,家电湘南区域,13,家电
130004,家电娄底店,30102,家电湘南区域,13,家电
130005,家电怀化府安店,30102,家电湘南区域,13,家电
130006,家电东都店,30101,家电湘北区域,13,家电
130007,家电东安店,30102,家电湘南区域,13,家电
130008,家电朝阳店,30101,家电湘北区域,13,家电
130009,家电金湘潭店,30101,家电湘北区域,13,家电
130010,家电邵阳武冈店,30102,家电湘南区域,13,家电
130011,家电舜德店,30102,家电湘南区域,13,家电
130012,家电南站店,30102,家电湘南区域,13,家电
130013,家电浏阳步行街店,30101,家电湘北区域,13,家电
130014,家电湘潭建设北路店,30101,家电湘北区域,13,家电
130015,家电望城郭亮路店,30101,家电湘北区域,13,家电
130016,家电澧县店,30101,家电湘北区域,13,家电
130017,家电常宁店,30102,家电湘南区域,13,家电
130018,家电宁远店,30102,家电湘南区域,13,家电
130019,家电都梁店,30102,家电湘南区域,13,家电
130020,家电溆浦店,30102,家电湘南区域,13,家电
130021,家电衡山人民中路店,30102,家电湘南区域,13,家电
130022,家电怀化顺天店,30102,家电湘南区域,13,家电
130023,家电怀化宝庆店,30102,家电湘南区域,13,家电
130024,家电郴州燕泉店,30102,家电湘南区域,13,家电
120001,解放路店,10107,湘潭区域,11,大卖场
