sbc,sbc_label,cls,cls_label,dept,dept_label
1211,玻璃杯,121,杯,12,家庭用品
1212,陶瓷杯,121,杯,12,家庭用品
1213,美耐皿杯,121,杯,12,家庭用品
1214,紫砂杯,121,杯,12,家庭用品
1215,不锈钢水杯,121,杯,12,家庭用品
1216,不锈钢保温杯,121,杯,12,家庭用品
1217,塑料杯,121,杯,12,家庭用品
1218,吸管杯,121,杯,12,家庭用品
1219,杯其它,121,杯,12,家庭用品
1221,玻璃壶,122,壶,12,家庭用品
1222,套装玻璃水具,122,壶,12,家庭用品
1223,陶瓷、紫砂壶,122,壶,12,家庭用品
1224,套装陶瓷、紫砂水具,122,壶,12,家庭用品
1225,不锈钢壶,122,壶,12,家庭用品
1226,保温水壶,122,壶,12,家庭用品
1227,塑料冷水壶,122,壶,12,家庭用品
1228,儿童水壶,122,壶,12,家庭用品
1229,壶其它,122,壶,12,家庭用品
1231,陶瓷餐具,123,碗皿、餐具,12,家庭用品
1232,美耐皿餐具,123,碗皿、餐具,12,家庭用品
1233,不锈钢餐具,123,碗皿、餐具,12,家庭用品
1234,玻璃餐具,123,碗皿、餐具,12,家庭用品
1235,特殊餐具,123,碗皿、餐具,12,家庭用品
1236,套装餐具,123,碗皿、餐具,12,家庭用品
1237,筷、汤匙、刀叉及餐具,123,碗皿、餐具,12,家庭用品
1238,其它（果斗、罐）,123,碗皿、餐具,12,家庭用品
1241,一次性碗,124,一次性用品,12,家庭用品
1242,一次性盘、碟,124,一次性用品,12,家庭用品
1243,一次性杯,124,一次性用品,12,家庭用品
1244,一次性筷、汤匙、刀叉,124,一次性用品,12,家庭用品
1245,一次性手套、桌布,124,一次性用品,12,家庭用品
1246,一次性围裙、鞋套,124,一次性用品,12,家庭用品
1247,吸管、牙签、牙签盒,124,一次性用品,12,家庭用品
1248,蜡烛 、仪式配件,124,一次性用品,12,家庭用品
1249,一次性用品其它,124,一次性用品,12,家庭用品
1251,炒锅、煎锅,125,炊具,12,家庭用品
1252,蒸锅,125,炊具,12,家庭用品
1253,汤锅、奶锅、高锅、,125,炊具,12,家庭用品
1254,高压锅,125,炊具,12,家庭用品
1255,水壶,125,炊具,12,家庭用品
1256,其它烹调用品,125,炊具,12,家庭用品
1257,炊具配件,125,炊具,12,家庭用品
1258,炊具套件,125,炊具,12,家庭用品
1259,炊具其它,125,炊具,12,家庭用品
1261,饭盒、保鲜盒、密封罐,126,厨房用品,12,家庭用品
1262,保温容器,126,厨房用品,12,家庭用品
1263,食品包装 （保鲜膜、,126,厨房用品,12,家庭用品
1264,烹调用具,126,厨房用品,12,家庭用品
1265,厨房卫生用具,126,厨房用品,12,家庭用品
1266,厨房整理用品,126,厨房用品,12,家庭用品
1267,厨房配件、厨房设备,126,厨房用品,12,家庭用品
1268,烧烤用品,126,厨房用品,12,家庭用品
1269,厨房用品其它,126,厨房用品,12,家庭用品
1271,整理架,127,家庭整理用具,12,家庭用品
1272,整理箱,127,家庭整理用具,12,家庭用品
1273,整理袋、护套,127,家庭整理用具,12,家庭用品
1274,楼梯,127,家庭整理用具,12,家庭用品
1275,熨衣板及配件,127,家庭整理用具,12,家庭用品
1276,保暧用品,127,家庭整理用具,12,家庭用品
1277,汽车用品,127,家庭整理用具,12,家庭用品
1278,家私,127,家庭整理用具,12,家庭用品
1279,家庭整理用具其它,127,家庭整理用具,12,家庭用品
1281,垃圾袋、垃圾桶,128,家庭清洁用品,12,家庭用品
1282,水瓢、盆桶,128,家庭清洁用品,12,家庭用品
1283,手套/ 清洁布,128,家庭清洁用品,12,家庭用品
1284,打扫用具,128,家庭清洁用品,12,家庭用品
1285,衣架 、干衣用具,128,家庭清洁用品,12,家庭用品
1286,洗衣、晒衣用具,128,家庭清洁用品,12,家庭用品
1287,门垫、地垫,128,家庭清洁用品,12,家庭用品
1288,家庭清洁用品其它,128,家庭清洁用品,12,家庭用品
1291,洗浴用品,129,卫浴用品,12,家庭用品
1292,卫生间用品,129,卫浴用品,12,家庭用品
1293,淋浴配件,129,卫浴用品,12,家庭用品
1294,镜子、梳子,129,卫浴用品,12,家庭用品
1295,卫浴用品其它,129,卫浴用品,12,家庭用品
1296,卫浴婴儿用品,129,卫浴用品,12,家庭用品
1311,音乐带,131,音乐,13,学习、文化用品
1312,CD,131,音乐,13,学习、文化用品
1321,影视VCD,132,影视,13,学习、文化用品
1322,SVCD,132,影视,13,学习、文化用品
1323,影视DVD,132,影视,13,学习、文化用品
