Name,Type,Platform,Title,Modified,Open,Archive 1,Archive 2,Version,Link
BBG_ETL_MONTH_DATA.KSH,Job,Unix,bbg_etl_month_data.ksh,2013-4-18 PM8:36:55,,,,1,1009925
BBG_INVADJSDE.KSH,Job,Unix,bbg_invadjsde.ksh,2013-4-18 PM8:36:54,,,,1,1009844
BBG_INVADJSIL.KSH,Job,Unix,bbg_invadjsil.ksh,2013-4-18 PM8:36:54,,,,1,1009849
BBG_INVTSFSDE.KSH,Job,Unix,bbg_invtsfsde.ksh,2013-4-18 PM8:36:54,,,,1,1009845
BBG_INVTSFSIL.KSH,Job,Unix,bbg_invtsfsil.ksh,2013-4-18 PM8:36:54,,,,1,1009850
BBG_RA_ADJREASON_SDE.KSH,Job,Unix,bbg_ra_adjreason_sde.ksh,2013-4-18 PM8:36:54,,,,1,1009830
BBG_RA_ADJREASON_SIL.KSH,Job,Unix,bbg_ra_adjreason_sil.ksh,2013-4-18 PM8:36:54,,,,1,1009836
BBG_RA_CONTRACT_TYPE_SDE.KSH,Job,Unix,bbg_ra_contract_type_sde.ksh,2013-4-18 PM8:36:54,,,,1,1009832
BBG_RA_CONTRACT_TYPE_SIL.KSH,Job,Unix,bbg_ra_contract_type_sil.ksh,2013-4-18 PM8:36:54,,,,1,1009838
BBG_RA_CUST_CLPLP.KSH,Job,Unix,bbg_ra_cust_clplp.ksh,2013-7-19 PM3:15:51,,,,2,1011112
BBG_RA_CUST_DPPLP.KSH,Job,Unix,bbg_ra_cust_dpplp.ksh,2013-7-19 PM3:16:30,,,,2,1011114
BBG_RA_CUST_DVPLP.KSH,Job,Unix,bbg_ra_cust_dvplp.ksh,2013-7-19 PM3:17:37,,,,2,1011116
BBG_RA_CUST_GPPLP.KSH,Job,Unix,bbg_ra_cust_gpplp.ksh,2013-7-19 PM3:17:03,,,,2,1011115
BBG_RA_CUST_IT_SDE.KSH,Job,Unix,bbg_ra_cust_it_sde.ksh,2013-7-19 PM3:12:08,,,,2,1011108
